COX,  JOHN R.#AK#0#REP#2010#0.503333091
HUNTER,  DUNCAN D.#CA#52#REP#2010#0.563670924
MERRIMAN,  CHARLES MILLER II#CA#53#REP#2010#0.274507307
WEAVER,  CLARENCE MASON#CA#53#REP#2010#0.274507307
ARRINGTON,  RANDALL STEVEN PHD#CA#53#REP#2010#0.274507307
DEKKER,  PAUL#CA#53#LIB#2010#0.040625451
FINK,  MARI HAMLIN#CA#53#REP#2010#0.274507307
FRIEDMAN,  MATT#CA#53#REP#2010#0.274507307
DAVIS,  SUSAN A#CA#53#DEM#2010#0.684867242
CRIMMINS,  MICHAEL PETER#CA#53#REP#2010#0.274507307
COTTON,  STANLEY S#CA#NA#DEM#2010#0
STANDLEY,  KELLY D#CO#1#REP#2010#0.237762534
DEGETTE,  DIANA L.#CO#1#DEM#2010#0.719352937
SCHITTER,  JEFFREY#CO#1#LIB#2010#0.042845694
SWING,  GARY#CO#1#GRE#2010#0
BARTON,  STEVEN DR#CO#1#REP#2010#0.237762534
STYSKAL,  CHRISTOPHER THOMAS#CO#1#CST#2010#0
FALLON,  MICHAEL PETER#CO#1#REP#2010#0.237762534
JONES,  CLINTON DOUGLAS#CO#1#LIB#2010#0.042845694
HAMMONS,  WILLIAM ROBERT#CO#2#OTH#2010#0
GOSS,  JENNA#CO#2#OTH#2010#0
POLKE,  KENNETH JEFFREY DR#CO#2#REP#2010#0.338587455
RAIBOURN,  HENRY#CO#2#DEM#2010#0.625971175
POLIS,  JARED#CO#2#DEM#2010#0.625971175
BRANCATO,  BOB#CO#2#REP#2010#0.338587455
HARRIS,  CURTIS LEE#CO#2#LIB#2010#0
BAILEY,  STEPHEN#CO#2#REP#2010#0.338587455
FRITZ,  JIM#CO#3#UNK#2010#0
THOMPSON,  DOUGLAS BOMAR#CO#3#REP#2010#0.383872521
BEESON,  MARTIN C#CO#3#REP#2010#0.383872521
GILMAN,  GREGORY#CO#3#LIB#2010#0
HARGIS,  JOHN W.#CO#3#UNK#2010#0
MCCONNELL,  ROBERT M#CO#3#REP#2010#0.383872521
SEGREST,  JAKE#CO#3#IND#2010#0
SALAZAR,  JOHN TONY MR.#CO#3#DEM#2010#0.616127479
TIPTON,  SCOTT R. MR.#CO#3#REP#2010#0.383872521
NELSON,  MICHAEL#CO#4#OTH#2010#0
ADEN,  DOUG#CO#4#OTH#2010#0
MADERE,  DEAN MATTHEW#CO#4#REP#2010#0.438031304
MARKEY,  BETSY#CO#4#DEM#2010#0.561968696
BOWMAN,  JASSEN#CO#4#LIB#2010#0
WASZKIEWICZ,  KEN 'WASKO'#CO#4#UNK#2010#0
FAHLANEIGH,  ROCHE#CO#4#UNK#2010#0
BROWN,  DIGGS#CO#4#REP#2010#0.438031304
LUCERO,  THOMAS JOSEPH#CO#4#REP#2010#0.438031304
GARDNER,  CORY SCOTT REP.#CO#4#REP#2010#0.438031304
SCOTT,  BRIAN 'CONSTITUTION'#CO#5#OTH#2010#0
LAMBORN,  DOUGLAS#CO#5#REP#2010#0.600301496
KLAVER,  JERELL#CO#5#LIB#2010#0
BRADLEY,  KEVIN#CO#5#DEM#2010#0.370404234
KEARNS,  MICHAEL SHAWN#CO#6#UNK#2010#0
MCNEALY,  ROBERT LEE#CO#6#LIB#2010#0
FLERLAGE,  JOHN#CO#6#DEM#2010#0.393310569
CANTER,  DAVID#CO#6#DEM#2010#0.393310569
COFFMAN,  MIKE#CO#6#REP#2010#0.606689431
SIAS,  LANGHORNE C#CO#7#REP#2010#0.365179529
SHEELY,  MICHEL L#CO#7#REP#2010#0.365179529
CAMPBELL,  BRIAN T SR#CO#7#REP#2010#0.365179529
LAKEY,  JIMMY#CO#7#REP#2010#0.365179529
PERLMUTTER,  EDWIN G#CO#7#DEM#2010#0.634820471
MOORE,  BUDDY#CO#7#UNK#2010#0
BAILEY,  BUCK#CO#7#LIB#2010#0
DEMING,  MICHAEL#CO#7#REP#2010#0.365179529
FRAZIER,  RYAN L#CO#7#REP#2010#0.365179529
HUTCHINSON,  CHRISTOPHER J#CT#1#OTH#2010#0
KRAYESKE,  KENNETH JAMES#CT#1#GRE#2010#0.024364167
STEPANEK,  DANIEL J#CT#1#W#2010#0
LARSON,  JOHN B#CT#1#DEM#2010#0
VISCONTI,  JOSEPH B#CT#1#REP#2010#0.260051361
ZYDANOWICZ,  MARK#CT#1#REP#2010#0.260051361
BRICKLEY,  ANN#CT#1#REP#2010#0.260051361
BIANCHI,  MURIEL P.#CT#2#W#2010#0
DUBITSKY,  DOUG#CT#2#REP#2010#0.323717423
PECKINPAUGH,  JANET#CT#2#REP#2010#0.323717423
MULLEN,  WESLEY MARTIN#CT#2#REP#2010#0.323717423
COURTNEY,  JOSEPH D#CT#2#DEM#2010#0
DALY,  MATTHEW MOULTON#CT#2#REP#2010#0.323717423
REALE,  DANIEL J#CT#2#W#2010#0
DESHEFY,  GREGORY SCOTT#CT#2#GRE#2010#0.019502168
NOVAK,  DARIA IRENE#CT#2#REP#2010#0.323717423
PILLSBURY,  CHARLES A#CT#3#GRE#2010#0.028964112
DELAURO,  ROSA L#CT#3#DEM#2010#0
CHENEY,  JEFFREY M#CT#3#REP#2010#0.197005058
LABRIOLA,  JERRY JR.#CT#3#REP#2010#0.197005058
ROGERS,  MARGARET H#CT#3#REP#2010#0.197005058
JOSEFF,  MATTHEW JASON#CT#3#IND#2010#0
FLANAGAN,  EUGENE#CT#4#W#2010#0
TORRES,  ENRIQUE RAUL#CT#4#REP#2010#0.475600435
RUSSO,  ROBERT#CT#4#REP#2010#0.475600435
DEBICELLA,  DAN#CT#4#REP#2010#0.475600435
HERRMANN,  THOMAS A#CT#4#REP#2010#0.475600435
GREGORY,  WILL#CT#4#REP#2010#0.475600435
HIMES,  JIM#CT#4#DEM#2010#0
MERKLE,  ROBERT#CT#4#REP#2010#0.475600435
GREENBERG,  MARK DANIEL#CT#5#REP#2010#0
SMITH,  ELMON#CT#5#W#2010#0
EVANS,  WILLIAM J JR#CT#5#REP#2010#0
WESTBY,  KIE#CT#5#REP#2010#0
CARTER,  DANIEL E#CT#5#REP#2010#0
MURPHY,  CHRISTOPHER#CT#5#DEM#2010#0
PISTONE,  JOHN#CT#5#W#2010#0
CALIGIURI,  SAM#CT#5#REP#2010#0
BERNIER,  JUSTIN#CT#5#REP#2010#0
WALLACE,  ALLEN#DC#0#DEM#2010#0
ALSTON,  DONNA JEAN#DC#0#DEM#2010#0
STRACUZZI,  NATALE N.#DC#0#GRE#2010#0
TINGLING-CLEMMONS,  RICK#DC#0#GRE#2010#0
LEE,  MICHAEL AGUSTUS (MATTHEW) DR ESQ#DC#0#IND#2010#0
MALONE,  JOAN F M#DC#0#REP#2010#0
NOBLE,  QUEEN#DC#0#OTH#2010#0
SLOAN,  DOUGLASS#DC#0#DEM#2010#0
SMITH,  MARJORIE (MISSY) REILLY#DC#0#REP#2010#0
NORTON,  ELEANOR HOLMES#DC#0#DEM#2010#0
URQUHART,  GLEN#DE#0#REP#2010#0.610799648
CULLIS,  FREDERICK R#DE#0#REP#2010#0.610799648
CHERRICKS,  LIZA DAWN#DE#0#IND#2010#0
CAMPBELL,  DOUGLAS ALLEN JR#DE#0#CON#2010#0
CARNEY,  JOHN CHARLES JR#DE#0#DEM#2010#0.379897109
BROWN,  JEFFREY#DE#0#OTH#2010#0
SPENCER,  SCOTT RICHARD#DE#0#DEM#2010#0.379897109
WADE,  KEVIN LYNN#DE#0#REP#2010#0.610799648
LOFLAND,  EARL R#DE#0#OTH#2010#0
WANGEN,  BRENT#DE#0#LIB#2010#0.009303243
IZZO,  ROSE#DE#0#REP#2010#0.610799648
ROLLINS,  MICHELE M#DE#0#REP#2010#0.610799648
BRYAN,  JAMES EDWARD#FL#1#DEM#2010#0
KELLEY,  HENRY ARTHUR JR#FL#1#UNK#2010#0
MILLER,  JEFFERSON B#FL#1#REP#2010#0.701840317
KRAUSE,  JOHN E#FL#1#REP#2010#0.701840317
CANTRELL,  JOSEPH HENRY JR#FL#1#IND#2010#0
NETHERWOOD,  RAYMOND HEATH#FL#2#IND#2010#0
SCHOLL,  DAVID EUGENE#FL#2#REP#2010#0.380755037
DORN,  JOSEPH C#FL#2#REP#2010#0.380755037
HENDRY,  EDDIE#FL#2#REP#2010#0.380755037
OLSCHNER,  BARBARA F#FL#2#REP#2010#0.380755037
MEECE,  CARL EDWARD JR#FL#2#REP#2010#0.380755037
MCKAIN,  PAUL CRANDALL#FL#2#OTH#2010#0
MCNEIL,  RON#FL#2#REP#2010#0.380755037
BOYD,  F. ALLEN JR.#FL#2#DEM#2010#0.618791153
ORTIZ,  ROBERT EDWARD#FL#2#REP#2010#0.380755037
RANSON,  CHARLES#FL#2#REP#2010#0.380755037
LAWSON,  ALFRED 'AL' JR.#FL#2#DEM#2010#0.618791153
SOUTHERLAND,  WILLIAM STEVE II#FL#2#REP#2010#0.380755037
BERRYHILL,  DIANNE JORDEN#FL#2#NPA#2010#0
YOST,  MICHAEL F ''MIKE''#FL#3#REP#2010#0
PENOSO,  ANTHONY PAUL#FL#3#REP#2010#0
MARTIN-BACK,  TERRY L#FL#3#NPA#2010#0
BLACK,  DEAN A#FL#3#REP#2010#0
MACNAUGHTON,  GEORGE SCOTT#FL#3#LIB#2010#0
NWASIKE,  C CHRISTIAN#FL#3#REP#2010#0
GILMAN,  JAMES NICHOLAS#FL#3#REP#2010#0
KOLB,  EUNA LEANNE#FL#3#REP#2010#0
BROWN,  CORRINE#FL#3#DEM#2010#1
FORTUNE,  SCOTT#FL#3#DEM#2010#1
CRENSHAW,  ANDER HON#FL#4#REP#2010#0.652546864
KONIZ,  GARY L#FL#4#NNE#2010#0
PUESCHEL,  DEBORAH KATZ#FL#4#NNE#2010#0
STANLEY,  TROY DWAYNE#FL#4#REP#2010#0.652546864
DOOLAN,  THOMAS JOSEPH#FL#5#DEM#2010#0.388453804
PICCILLO,  JAMES JOHN#FL#5#DEM#2010#0.388453804
SAGER,  JASON PATRICK#FL#5#REP#2010#0.611546196
WERDER,  HAROLD DAVID#FL#5#DEM#2010#0.388453804
NUGENT,  RICHARD B#FL#5#REP#2010#0.611546196
BROWNING,  DONALD EDWARD#FL#6#REP#2010#0.608875151
ANNARUMMA,  JOHN#FL#6#UNK#2010#0
SCHONBERG,  STEVEN E#FL#6#DEM#2010#0
STEARNS,  CLIFFORD B.#FL#6#REP#2010#0.608875151
MORRIS,  RALPH LEROY#FL#7#UNK#2010#0
BEAVEN,  HEATHER MAURINE#FL#7#DEM#2010#0.379966391
SILVA,  PETER#FL#7#DEM#2010#0.379966391
ARMITAGE,  FAYE#FL#7#DEM#2010#0.379966391
BACON,  STEPHEN#FL#7#OTH#2010#0
MICA,  JOHN L. MR.#FL#7#REP#2010#0.620033609
METCALFE,  GEORGE L#FL#8#IND#2010#0
BUTLER,  KEVIN MICHAEL#FL#8#REP#2010#0.479894326
LONG,  WILLIAM TODD#FL#8#REP#2010#0.479894326
SULLIVAN,  PATRICIA ANNE#FL#8#REP#2010#0.479894326
BROWN,  PRINCE#FL#8#REP#2010#0.479894326
GERRITZEN,  STEVEN J#FL#8#UNK#2010#0
MILLER,  KENNETH JOHN#FL#8#REP#2010#0.479894326
FANELLI,  DANIEL ROY#FL#8#REP#2010#0.479894326
BIELING,  ROSS PARKER#FL#8#REP#2010#0.479894326
ODONOGHUE,  WILLIAM BRUCE#FL#8#REP#2010#0.479894326
TYSALL,  TERRENCE NEAL SR#FL#8#REP#2010#0.479894326
DUNMIRE,  PEG#FL#8#REP#2010#0.479894326
KELLY,  KURT#FL#8#REP#2010#0.479894326
WEBSTER,  DANIEL#FL#8#REP#2010#0.479894326
GRAYSON,  ALAN MARK#FL#8#DEM#2010#0.520105674
GUTIERREZ,  ARMANDO JR#FL#8#REP#2010#0.479894326
BILIRAKIS,  GUS MICHAEL#FL#9#REP#2010#0.621712622
DE PALMA,  ANITA#FL#9#DEM#2010#0.362669285
HINDAHL,  PHIL#FL#9#DEM#2010#0.362669285
LINN,  MAX#FL#10#DEM#2010#0.393167784
ROKICKI,  MARTIN#FL#10#NNE#2010#0
JUSTICE,  CHARLIE#FL#10#DEM#2010#0.393167784
YOUNG,  C. W. BILL#FL#10#REP#2010#0.606802337
FORCADE,  ERIC LEE#FL#10#REP#2010#0.606802337
STANFORD,  STEVEN CRAIG#FL#11#REP#2010#0.283441858
CURTIS,  TIMOTHY LYNN#FL#11#DEM#2010#0.716558142
KELLER,  SCOTT THOMAS#FL#11#REP#2010#0.283441858
BUNTYN,  TONY#FL#11#REP#2010#0.283441858
CASTOR,  KATHY#FL#11#DEM#2010#0.716558142
PRENDERGAST,  MIKE#FL#11#REP#2010#0.283441858
CASTELLANO,  THOMAS C#FL#11#REP#2010#0.283441858
ADAMS,  EDDIE JR#FL#11#REP#2010#0.283441858
OSINSKI,  JOHN V#FL#12#IND#2010#0
EDWARDS,  RANDOLPH#FL#12#DEM#2010#0.425373573
ROSS,  DENNIS ALAN#FL#12#REP#2010#0.574626427
EDWARDS,  LORI#FL#12#DEM#2010#0.425373573
SNIDER,  THOMAS K#FL#12#LIB#2010#0
WILKINSON,  RANDY#FL#12#REP#2010#0.574626427
LINDSEY,  JOHN W JR#FL#12#REP#2010#0.574626427
TUDOR,  DOUGLAS DAVID#FL#12#DEM#2010#0.425373573
GOLDEN,  JAMES THEOPOLIS#FL#13#DEM#2010#0.374914401
BALDAUF,  DON#FL#13#REP#2010#0.555391906
BUCHANAN,  VERNON#FL#13#REP#2010#0.555391906
EATON,  RICHARD CHRISTOPHER#FL#13#DEM#2010#0.374914401
NEELD,  ROBERT M. JR.#FL#14#DEM#2010#0.247664009
ROACH,  JAMES LLOYD#FL#14#DEM#2010#0.247664009
ST CLAIRE,  WILLIAM MAVERICK#FL#14#UNK#2010#0
MACK,  CONNIE#FL#14#REP#2010#0.594356574
ROBERTS,  C SHANNON#FL#15#DEM#2010#0.419903778
POSEY,  BILL#FL#15#REP#2010#0.530993089
ROONEY,  TOM#FL#16#REP#2010#0.600932864
CRAFT,  CHRISTOPHER LEE#FL#16#DEM#2010#0.399067136
TAUTIVA,  ED#FL#16#DEM#2010#0.399067136
DEAN,  WILLIAM#FL#16#NNE#2010#0
LUTRIN,  DAVID LEE#FL#16#DEM#2010#0.399067136
HORN,  JIM#FL#16#OTH#2010#0
VEREEN,  RODERICK D#FL#17#DEM#2010#1
ADAM,  LEROY#FL#17#DEM#2010#1
ROBERSON,  YOLLY#FL#17#DEM#2010#1
BRUTUS,  PHILLIP J#FL#17#DEM#2010#1
BUSH,  JAMES III#FL#17#DEM#2010#1
BASTIEN,  MARLEINE M#FL#17#DEM#2010#1
WILSON,  FREDERICA S#FL#17#DEM#2010#1
MOISE,  RUDOLPH#FL#17#DEM#2010#1
GALVIN,  SCOTT#FL#17#DEM#2010#1
POITIER,  COREY B#FL#17#REP#2010#0
WILLIAMS,  ANDRE LEWIS#FL#17#DEM#2010#1
GIBSON,  SHIRLEY#FL#17#DEM#2010#1
BANCIELLA,  ROLANDO A#FL#18#DEM#2010#0.421303022
ROS-LEHTINEN,  ILEANA#FL#18#REP#2010#0.578696978
MCCORMICK,  JIM#FL#19#NPA#2010#0
BUDD,  JOSEPH E#FL#19#UNK#2010#0
SMILAN,  STANLEY S#FL#19#NNE#2010#0
LAROSE,  JOSUE#FL#19#DEM#2010#0.661572495
LYNCH,  EDWARD J #FL#19#REP#2010#0.272376452
DEUTCH,  THEODORE ELIOT#FL#19#DEM#2010#0.661572495
GRABER,  BENJAMIN#FL#19#DEM#2010#0.661572495
PRICE,  CURT#FL#19#REP#2010#0.272376452
RUIZ,  JOSE M#FL#19#DEM#2010#0.661572495
WASSERMAN SCHULTZ,  DEBBIE#FL#20#DEM#2010#0.774762318
REILLY,  BRIAN G#FL#20#REP#2010#0
KUNST,  ROBERT#FL#20#NNE#2010#0
DWORKOWITZ,  STEPHEN#FL#20#REP#2010#0
MILO,  DONNA E#FL#20#REP#2010#0
SCHOCK,  CLAYTON JAMES#FL#20#OTH#2010#0
LOWRY,  ROBERT PAUL#FL#20#REP#2010#0
BLUMENTHAL,  STANLEY#FL#20#IND#2010#0
HARRINGTON,  KAREN#FL#20#REP#2010#0
SANCHEZ,  WILLAIM#FL#21#DEM#2010#0
DIAZ-BALART,  MARIO#FL#21#REP#2010#0.579007772
BRADY,  DAVID#FL#22#REP#2010#0.453189542
KLEIN,  RON#FL#22#DEM#2010#0.54679105
WEST,  ALLEN B#FL#22#REP#2010#0.453189542
RENNEISEN,  PAUL FRANCIS MR.#FL#22#DEM#2010#0.54679105
HASTINGS,  ALCEE L HON#FL#23#DEM#2010#0.821826291
SANSARICQ,  BERNARD#FL#23#REP#2010#0.17798351
DEDELOW,  EDWARD W#FL#24#REP#2010#0.411140591
DAVIS,  JASON P#FL#24#REP#2010#0.411140591
HUKILL,  DOROTHY L#FL#24#REP#2010#0.411140591
PARTYKA,  PAUL PETER#FL#24#DEM#2010#0.572011804
FOSTER,  JAMES NORMAN#FL#24#REP#2010#0.411140591
HEINZELMAN,  JAMES P SR#FL#24#REP#2010#0.411140591
MACINNES,  CHAD#FL#24#REP#2010#0.411140591
SINCLAIR,  LARRY#FL#24#UNK#2010#0
ROBEY,  ROBERT LAWRENCE#FL#24#REP#2010#0.411140591
DIEBEL,  KAREN#FL#24#REP#2010#0.411140591
CAMPBELL,  SEAN FIELD#FL#24#REP#2010#0.411140591
KOSMAS,  SUZANNE#FL#24#DEM#2010#0.572011804
ROSS,  BEN#FL#24#REP#2010#0.411140591
LONG,  OMETRIAS DEON#FL#24#REP#2010#0.411140591
RUIZ,  NICHOLAS III#FL#24#NNE#2010#0
MILLER,  CRAIG S#FL#24#REP#2010#0.411140591
ADAMS,  SANDY#FL#24#REP#2010#0.411140591
GARCIA,  GEORGE THOMAS#FL#24#REP#2010#0.411140591
PORTER,  CRAIG#FL#25#OTH#2010#0
RIVERA,  DAVID#FL#25#REP#2010#0.530543835
CANCIO,  MARIANA MARILI#FL#25#REP#2010#0.530543835
MEURICE,  LUIS#FL#25#DEM#2010#0.469456165
ARROJO,  JOSE ROLANNDO#FL#25#DEM#2010#0.469456165
RIVERA,  LUIS ANTONIO#FL#25#DEM#2010#0.469456165
GARCIA,  JOSE ANTONIO#FL#25#DEM#2010#0.469456165
CRESPO,  PAUL L#FL#25#REP#2010#0.530543835
HARRIS,  OSCAR L. II#GA#1#DEM#2010#0.334667554
KINGSTON,  JOHN HEDDENS#GA#1#REP#2010#0.665332446
BISHOP,  SANFORD D JR.#GA#2#DEM#2010#0.689489351
ALLEN,  RICK#GA#2#REP#2010#0.310510649
ADAMS,  RHUEDOLPH 'RUDY'#GA#2#REP#2010#0.310510649
FERRELL,  LEE R II#GA#2#REP#2010#0.310510649
BROWN,  BOBBY DAVE#GA#2#REP#2010#0.310510649
KEOWN,  MICHAEL (MIKE) HUEL#GA#2#REP#2010#0.310510649
SAUNDERS,  ROBERT FRANKLIN III#GA#3#DEM#2010#0.343049799
WESTMORELAND,  LYNN A.#GA#3#REP#2010#0.656941444
RUTH,  CORY JEROME#GA#4#REP#2010#0
JOHNSON,  HENRY C 'HANK' JR#GA#4#DEM#2010#0.999109901
CARTER,  LISBETH 'LIZ'#GA#4#REP#2010#0
ARMENDARIZ,  VICTOR#GA#4#REP#2010#0
GAUSE,  LAWRENCE FRANKLIN#GA#4#REP#2010#0
STOKES,  CONNIE JEAN MS#GA#4#DEM#2010#0.999109901
JONES,  VERNON A#GA#4#DEM#2010#0.999109901
NGUYEN,  KELLY#GA#5#REP#2010#0
LITTLE,  SAMUEL FENN JR#GA#5#REP#2010#0
LEWIS,  JOHN R.#GA#5#DEM#2010#0.999542065
GREENBERG,  SEAN#GA#6#NNE#2010#0
PRICE,  THOMAS EDMUNDS#GA#6#REP#2010#0.68482656
COX,  JOHN CLAYTON 'CLAY'#GA#7#REP#2010#0.620284256
HECKMAN,  DOUGLAS SCOTT#GA#7#DEM#2010#0.379715744
KIRBY,  LESTER THOMAS#GA#7#REP#2010#0.620284256
GRIST,  RONNIE#GA#7#REP#2010#0.620284256
BALFOUR,  DONALD KENNETH II#GA#7#REP#2010#0.620284256
FINCHER,  JAMES (JEF) ERNEST#GA#7#REP#2010#0.620284256
MALONE,  WILLIAM F JR#GA#7#REP#2010#0.620284256
HICE,  JODY B MR#GA#7#REP#2010#0.620284256
WOODALL,  ROB#GA#7#REP#2010#0.620284256
PARROTT,  THOMAS S#GA#7#REP#2010#0.620284256
EFSTRATION,  CHUCK#GA#7#REP#2010#0.620284256
MEYERS,  VALERIE SARGENT#GA#8#REP#2010#0.427563008
RISH,  WILLIAM PAUL#GA#8#REP#2010#0.427563008
HICKS,  ANGELA#GA#8#REP#2010#0.427563008
VANN,  DIANE ELIZABETH SWANSON#GA#8#REP#2010#0.427563008
DELOACH,  KENNETH RAY JR#GA#8#REP#2010#0.427563008
SCOTT,  JAMES AUSTIN#GA#8#REP#2010#0.427563008
MARSHALL,  JIM#GA#8#DEM#2010#0.572436992
STEPHENS,  WILLIAM V#GA#9#REP#2010#0.755105371
MOON,  EDWARD ''EUGENE''#GA#9#IND#2010#0
BENTON,  CLYDE DANIEL#GA#9#REP#2010#0.755105371
EVANS,  MIKE ALLEN#GA#9#REP#2010#0.755105371
DOOLEY,  THOMAS EUGENE#GA#9#REP#2010#0.755105371
JONES,  JEREMY EDWARD#GA#9#REP#2010#0.755105371
REESE,  BOBBY CLIFFORD#GA#9#REP#2010#0.755105371
TARVIN,  THOMAS STEPHEN#GA#9#REP#2010#0.755105371
GRAVES,  JOHN THOMAS JR#GA#9#REP#2010#0.755105371
CATES,  CHRISTOPHER U MD#GA#9#REP#2010#0.755105371
FREEMAN,  MIKE#GA#9#DEM#2010#0
HAWKINS,  B LEE#GA#9#REP#2010#0.755105371
LOFTMAN,  BERTIL ARMIN#GA#9#REP#2010#0.755105371
UNTERMYER,  SAMUEL III 'SANDY'#GA#10#DEM#2010#0.392726351
BROUN,  PAUL COLLINS#GA#10#REP#2010#0.607273649
EDWARDS,  RUSSELL JAMES#GA#10#DEM#2010#0.392726351
GINGREY,  J. PHILLIP#GA#11#REP#2010#0.681859794
MOSLEY,  EMMETT WAYNE JR#GA#12#REP#2010#0.33999639
MCKINNEY,  RAYMOND LOUIS SR#GA#12#REP#2010#0.33999639
HORNER,  MICHAEL W#GA#12#REP#2010#0.33999639
THOMAS,  REGINA D#GA#12#DEM#2010#0.66000361
SEAVER,  JEAN MARIE#GA#12#REP#2010#0.33999639
BARROW,  JOHN J.#GA#12#DEM#2010#0.66000361
SMITH,  LAWTON CARLOS JR#GA#12#REP#2010#0.33999639
PARCHMENT,  RUPERT GORDON#GA#13#REP#2010#0.309550394
MORRIS,  STEVEN AUGUSTUS#GA#13#REP#2010#0.309550394
MURPHY,  MIKE#GA#13#DEM#2010#0.690449606
SLEEPER,  SONJA#GA#13#REP#2010#0.309550394
ORR,  DAVID GORDON#GA#13#REP#2010#0.309550394
CRANE,  MICHAEL ROBERT#GA#13#REP#2010#0.309550394
SCOTT,  DAVID ALBERT#GA#13#DEM#2010#0.690449606
FLANEGAN,  CHARLES EDWARD JR#GA#13#REP#2010#0.309550394
FRISBEE,  MICHAEL A#GA#13#DEM#2010#0.690449606
DUDEK,  HANK RICHARD#GA#13#REP#2010#0.309550394
HONEYCUTT,  DEBORAH TRAVIS#GA#13#REP#2010#0.309550394
TAM,  BRIAN#GA#NA#UNK#2010#0
BORDALLO,  MADELEINE Z. MS.#GU#0#DEM#2010#0
HANABUSA,  COLLEEN WAKAKO#HI#1#DEM#2010#0.771360114
LEE,  PHILMUND (PHIL)#HI#1#DEM#2010#0.771360114
COLLINS,  CHARLES (GOOGIE)#HI#1#REP#2010#0.190654121
CRUM,  DOUGLAS#HI#1#REP#2010#0.190654121
GIUFFRE,  JOHN (RAGHU)#HI#1#REP#2010#0.190654121
BREWER,  JIM#HI#1#NNE#2010#0
MOSELEY,  KARL F.#HI#1#NNE#2010#0
STRODE,  KALAELOA#HI#1#NNE#2010#0
BROWNE,  VINNY#HI#1#DEM#2010#0.771360114
CASE,  EDWARD ESPENETT#HI#1#DEM#2010#0.771360114
TATAII,  STEVE#HI#1#NNE#2010#0
AMSTERDAM,  C KAUI JOCHANAN#HI#1#REP#2010#0.190654121
DJOU,  CHARLES K#HI#1#REP#2010#0.190654121
DEL CASTILLO,  RAFAEL GOODWIN#HI#1#DEM#2010#0.771360114
SONN,  ANDREW VON#HI#2#IND#2010#0
GIMBERNAT,  ANTONIO#HI#2#REP#2010#0.203864827
BROCK,  PAT#HI#2#LIB#2010#0.016974586
WILLOUGHBY,  JOHN WILLIAM#HI#2#REP#2010#0.203864827
WHARTON,  RAMSAY PUANANI#HI#2#REP#2010#0.203864827
HIRONO,  MAZIE MRS.#HI#2#DEM#2010#0.760611985
PETSCHE,  ROB J.#IA#1#LIB#2010#0
JOHNSON,  WILL#IA#1#REP#2010#0.353933594
LA COSTE,  MIKE#IA#1#REP#2010#0.353933594
FAULKER ,  JASON A.#IA#1#OTH#2010#0
BUDDE,  JAMES R#IA#1#REP#2010#0.353933594
LACOSTE,  MIKE STEVEN#IA#1#REP#2010#0.353933594
BRALEY,  BRUCE L#IA#1#DEM#2010#0.646066406
LANGE,  BENJAMIN MICHAEL#IA#1#REP#2010#0.353933594
LOEBSACK,  DAVID WAYNE#IA#2#DEM#2010#0.572426388
RATHJE,  STEVE#IA#2#REP#2010#0.388040392
TACK,  JONATHAN JAY#IA#2#OTH#2010#0
SICARD,  GARY JOSEPH#IA#2#LIB#2010#0
MILLER-MEEKS,  MARIANNETTE JANE#IA#2#REP#2010#0.388040392
GETTEMY,  ROBERT EDWARD#IA#2#REP#2010#0.388040392
REED,  CHRISTOPHER#IA#2#REP#2010#0.388040392
WELCH,  JASON LEE#IA#3#REP#2010#0.421299647
REES,  MARK ROBERT#IA#3#REP#2010#0.421299647
WILLIAMSON,  REBECCA#IA#3#OTH#2010#0
BATCHER,  SCOTT GERALD#IA#3#REP#2010#0.421299647
GIBBONS,  JIM#IA#3#REP#2010#0.421299647
FUNK,  DAVID EDWARD#IA#3#REP#2010#0.421299647
BERTROCHE,  J PATRICK#IA#3#REP#2010#0.421299647
BOSWELL,  LEONARD L.#IA#3#DEM#2010#0.564036998
ZAUN,  BRAD#IA#3#REP#2010#0.421299647
MASKE,  BILLY DALE#IA#4#DEM#2010#0.394331883
LATHAM,  THOMAS P.#IA#4#REP#2010#0.605668117
LENSING ,  DAN#IA#4#OTH#2010#0
DENKLAU,  MICHAEL ALLEN#IA#5#DEM#2010#0.373825707
MONROE,  MARTIN JAMES#IA#5#OTH#2010#0
CAMPBELL,  MATTHEW#IA#5#DEM#2010#0.373825707
KING,  STEVE MR.#IA#5#REP#2010#0.598377853
SALI,  WILLIAM T.#ID#1#REP#2010#0.493942489
CHADWICK,  MICHAEL L#ID#1#REP#2010#0.493942489
ROBERTS,  KEN A#ID#1#REP#2010#0.493942489
SALZBERG,  ALLAN M.#ID#1#REP#2010#0.493942489
WARD,  VAUGHN L#ID#1#REP#2010#0.493942489
WASHBURN,  MICHAEL JAMES#ID#1#LIB#2010#0
OLSON,  DAVID EDWIN#ID#1#IND#2010#0
BROWN,  HARLEY DELANO#ID#1#REP#2010#0.493942489
LABRADOR,  RAUL RAFAEL#ID#1#REP#2010#0.493942489
MINNICK,  WALTER CLIFFORD#ID#1#DEM#2010#0.506057511
SCHAD,  BRIAN#ID#2#IND#2010#0
CRAWFORD,  MIKE#ID#2#DEM#2010#0.288968433
BURTON,  KATHERINE#ID#2#REP#2010#0.708923164
HEILESON,  CHICK#ID#2#REP#2010#0.708923164
SIMPSON,  MICHAEL K#ID#2#REP#2010#0.708923164
